PRICEGROUP,SUBSIDIARYID,PRICERULEID,PRODUCTID
INK-HP-PRIMARY,1,2,470528
TONER-HP-ATTACHED,1,2,472734
INK-HP-ATTACHED,1,2,509892
IPS-SEG-MID2,1,1,526510
INK-HP-ATTACHED,1,2,728512
LES-SEG-MID,1,2,664768
LES-SEG-LAAG,1,1,387095
TONER-HP-ATTACHED,1,2,614872
INK-OTHER-ATTACHED,1,2,283188
INK-HP-PRIMARY,1,2,52993
INK-HP-PRIMARY,1,2,332554
TONER-HP-ATTACHED,1,2,614883
INK-OTHER-ATTACHED,1,2,665655
IPS-TOPPER,1,1,671250
TONER-HP-ATTACHED,1,2,472754
INK-OTHER-ATTACHED,1,2,283186
IPS-SEG-MID1,1,1,703762
LES-SEG-LAAG,1,1,665005
IPS-SEG-HOOG,1,2,510716
INK-OTHER-ATTACHED,1,2,283202
INK-HP-ATTACHED,1,2,728455
INK-OTHER-ATTACHED,1,2,273013
IPS-SEG-MID2,1,1,477781
TONER-OTHER-ATTACHED,1,2,633586
TONER-HP-ATTACHED,1,2,289753
INK-OTHER-ATTACHED,1,2,380823
IPS-SEG-HOOG,1,2,579395
INK-HP-ATTACHED,1,2,59816
INK-OTHER-PRIMARY,1,2,668714
INK-OTHER-PRIMARY,1,2,284868
TONER-HP-ATTACHED,1,2,472712
IPS-SEG-MID1,1,1,671261
IPS-SEG-MID1,1,1,703764
TONER-OTHER-ATTACHED,1,2,382987
LES-SEG-MID,1,2,500486
TONER-OTHER-ATTACHED,1,2,231271
INK-OTHER-ATTACHED,1,2,283210
TONER-OTHER-ATTACHED,1,2,606758
TONER-OTHER-ATTACHED,1,2,273490
INK-OTHER-ATTACHED,1,2,532113
IPS-TOPPER,1,1,510036
INK-HP-ATTACHED,1,2,728466
INK-OTHER-PRIMARY,1,2,107706
LES-SEG-MID,1,2,494228
LES-SEG-MID,1,2,485330
IPS-SEG-MID2,1,1,525654
INK-HP-ATTACHED,1,2,53773
INK-OTHER-PRIMARY,1,2,532088
IPS-SEG-MID2,1,1,510119
INK-OTHER-PRIMARY,1,2,227531
INK-OTHER-ATTACHED,1,2,127536
INK-OTHER-PRIMARY,1,2,524797
INK-OTHER-PRIMARY,1,2,501059
TONER-HP-ATTACHED,1,2,174558
INK-OTHER-ATTACHED,1,2,61216
LES-SEG-HOOG,1,2,415694
TONER-OTHER-ATTACHED,1,2,231269
TONER-OTHER-ATTACHED,1,2,231274
TONER-HP-ATTACHED,1,2,685870
LES-SEG-HOOG,1,2,617925
INK-OTHER-ATTACHED,1,2,61221
TONER-OTHER-ATTACHED,1,2,606559
TONER-HP-PRIMARY,1,2,227371
TONER-HP-ATTACHED,1,2,685873
TONER-HP-ATTACHED,1,2,685876
TONER-OTHER-PRIMARY,1,2,236540
INK-HP-ATTACHED,1,2,728460
LES-SEG-HOOG,1,2,617970
INK-OTHER-ATTACHED,1,2,61223
INK-HP-PRIMARY,1,2,454437
TONER-OTHER-ATTACHED,1,2,532423
LES-SEG-MID,1,2,494283
INK-OTHER-ATTACHED,1,2,665657
INK-HP-ATTACHED,1,2,509747
LES-SEG-HOOG,1,2,664808
INK-HP-ATTACHED,1,2,170176
INK-OTHER-PRIMARY,1,2,660303
INK-HP-PRIMARY,1,2,53136
LES-SEG-HOOG,1,2,683704
INK-OTHER-ATTACHED,1,2,233357
TONER-OTHER-ATTACHED,1,2,605683
INK-OTHER-PRIMARY,1,2,171288
TONER-OTHER-ATTACHED,1,2,492128
IPS-SEG-MID2,1,1,519132
LES-SEG-MID,1,2,393337
LES-SEG-MID,1,2,485485
INK-OTHER-ATTACHED,1,2,673404
TONER-HP-PRIMARY,1,2,346596
INK-OTHER-PRIMARY,1,2,284244
INK-OTHER-PRIMARY,1,2,146876
INK-OTHER-PRIMARY,1,2,524775
INK-OTHER-ATTACHED,1,2,673294
TONER-HP-ATTACHED,1,2,137403
TONER-OTHER-ATTACHED,1,2,532302
INK-OTHER-ATTACHED,1,2,729788
INK-HP-ATTACHED,1,2,332578
INK-HP-ATTACHED,1,2,169983
INK-OTHER-ATTACHED,1,2,665653
INK-OTHER-ATTACHED,1,2,729751
IPS-SEG-MID1,1,1,669181
TONER-OTHER-ATTACHED,1,2,236552
TONER-OTHER-PRIMARY,1,2,325837
INK-HP-ATTACHED,1,2,332605
LES-SEG-HOOG,1,2,683705
INK-OTHER-ATTACHED,1,2,665646
INK-HP-ATTACHED,1,2,728477
TONER-OTHER-ATTACHED,1,2,606760
IPS-SEG-HOOG,1,2,387051
IPS-SEG-LAAG,1,1,380410
TONER-OTHER-ATTACHED,1,2,606763
TONER-OTHER-ATTACHED,1,2,606762
INK-OTHER-PRIMARY,1,2,232375
INK-OTHER-ATTACHED,1,2,660319
TONER-HP-ATTACHED,1,2,470682
TONER-OTHER-ATTACHED,1,2,605614
